발언내용,2021일부,2021전체
그렇습니다. 당연합니다.,긍정,중립
"""저는 그런 불만에 대해서 저희가 충분히 경청해야 된다고 생각하고요. 지금 저희가 재정여건 때문에 그렇습니다만 사립유치원에 대한 지원이 부족한 것도 사실입니다. 그리고 김용연 위원님 말씀하신 대로 유치원 급식 지원에 조금 더 폭넓게 나서야 된다고 생각하고요. 시설이라든가 인력 지원까지 포함해서 그 부분도 확대되어야 된다고 생각하고요. 그래서 그 부분은 저희가 연구프로젝트를 해서 지금 안을 만들어놓은 것도 있습니다. 단지 예산이나 이것을 고려하면서 적절하게 단계별 시행방안을 확정해야 되는데요 그 부분은 저희가 조금 더 천착하겠다는 말씀드리고요. 단지 공영형 사립유치원 모델을 사실 제가 만들었는데 공영형 사립모델은 지금 김상진 위원님 말씀대로 공립 수준의 지원을 사립유치원에 하고 대신에 사립유치원은 국민들이 요구하는 투명성과 공공성에 대해서 더 높은 수준을 담보해 달라 이렇게 되어 있습니다. 그래서 저는 기본적으로는 그 원리에 따르는, 그러니까 투명성이나 공공성을 사립유치원이 훨씬 더 받아들여주고 지원은 공립유치원 수준으로, 예를 들면 60%, 70%, 80%, 90% 이렇게 단계적으로라도 대대적으로 확대를 하는 저는 그런 큰 틀의 타협이라고 할까요, 접점 찾기를 했으면 하는 생각이 들고. 일단 사립유치원은, 저는 공교육을 담당하는 게 공립학교와 사립학교기 때문에 비슷한 수준의 지원이 이루어져야 된다 이렇게 생각을 갖고 있습니다.""",부정,긍정
알겠습니다. 표를 의식하는 것보다도 공립하고 형평성 있게 지원할 수 있으면 지원을 해 주세요.,긍정,중립
변화하지 않으면 퇴보하는 것입니다. 저는 변화는 늘 요구된다고 보고 역시 행정기구나 인사에서도 그것은 따로 갈 수 없다고 생각합니다. 하여튼 시대에 부응하는 기구나 인사 지속적으로 확실하게 추진해 주시기를 바랍니다. 이상입니다.,부정,긍정
"""이런 점은 있는 것 같습니다. 지난 10년간 혹은 짧게는 5년간은 혁신학교, 혁신교육 하면 그 자체가 많은 사람들이 희망을 품는 그런 언어였던 것 같습니다. 그런데 이게 역설인데요 아까 보고말씀드린 대로 지금 혁신학교가 226개나 돼 있습니다. 1,300개 학교에서 15% 내외가 지금 돼 있습니다. 그래서 새로운 도전에 직면하고 있는 점이 있다고 생각을 갖습니다. 그래서 제가 그것을 개념적으로는 혁신교육 1.0시대에서 혁신교육 2.0시대로 도약을 해야 되고 그 과정에 약간 반성적 시각이 필요하다, 그러니까 우리가 지금 말씀하신 대로 뭐가 부족한지, 단점이 뭔지에 대해서, 예컨대 혁신학교에 대해서 예를 들어서 학부모 일부가 학력저하라는 문제제기를 할 때 저희가 그것은 말도 안 된다고 얘기도 하고, 그게 맞지만 또 일부지만 그런 요소가 있다면 오히려 보완을 하자 그런 것을 포함해서 조금 피로감도 있고 여러 가지가 있습니다. 그래서 그 부분을 혁신의 혁신을 더해서 돌파를 해 가야 되겠다 이렇게 생각하고 있습니다.""",부정,중립
지원을 확대하겠다는…….,긍정,중립
지원도 물론 당연히 확대하고요.,긍정,중립
"""그다음에 다른 실무사들하고는 달리 행정사무감사 대상이 아닙니다. 행정실무사는 행정사무감사 대상이기도 하고 징계를 받도록 돼 있습니다. 똑같이 취급하면 안 된다고 저는 봅니다. 시간이 없기 때문에 간단하게 말씀을 드리면 우리 교육감님께서는 2018년도 4월 27일 호봉제 도입 등 정규직과 차별적 수당제도 개선 공약 간담회를 하셨고요, 이 자리에서 약속을 하셨습니다. 그 외에도 몇 차례 있고요. 문재인 대통령께서도 2017년 2월 18일 사회연대노동포럼에서 약속을 하셨던 바입니다. 그런데도 불구하고 공약은 지키라고, 약속을 했으면 지키라고 있는 거 아니겠습니까? 그런데 현실은 아직까지 못 지켜지고 있습니다. 본 위원이 생각할 때는 우리 교육감님의 결단이 필요한 것 아닌가 이런 생각이 드는데 그것과 관련해서 간단하게 답변 좀 부탁드리겠습니다.""",중립,부정
"""양 위원님, 이 문제 제기해 주셔서 감사드리고요. 단지 그냥 간단하게만 말씀드리면 저희가 공무직 교섭을, 그러니까 2018년까지는 공통부분만 하고 직종별을 저희가 했는데 작년부터는 이게 시도교육감이 총괄해서 하고 있습니다.""",긍정,중립
당연히 문제가 있다고 생각하고요. 상피제의 관점에서도 저는 그게 이루어지면 안 된다고 생각하는데 지금 사립학교 경우를 보니까 28명이 지금 현재 있네요. 그래서 일단은 최소한 같은 학년 혹은 입시출제 과정 이런 일련의 과정에서는 분리가 돼 있는데 간접영향을 미칠 가능성은 있습니다.,부정,중립
당연히 저는 반대하고요. 오히려 비판은 많이 이루어져 있는데 저는 사학이 촛불시민혁명 이후 높아진 국민들의 투명성과 공공성에 대한 요구를 좀 개방적으로 받아들이면서 자기개혁을 하는 그런 것이 필요한 것 같습니다. 친인척이 이렇게 전횡하는 것을 우리 국민들이 더 이상 용납하지 않는 것 같습니다. 안타깝지만 그런 새로운 변화된 현실을 사학 오너들이 받아들이는…….,부정,긍정
"""그 점은 저희가, 사실 서울시하고 구청하고 같이 할 때 저희 입장은 학부모에게 선택지를 주자는 입장이었습니다. 그런데 서울시 쪽에서 아무래도 친환경쌀 생산업체, 배송업체 이런 부분의 요구들을 적극적으로 받아서 그랬는데요. 저희도 그 과정에서 좀 더 세심하게 했었어야 하는 생각을 가지고 있습니다.""",중립,긍정
이상입니다.,긍정,중립
그 배경이 있는데도 불구하고 제가 우리 교육청 조직 구성을 보면 교육복지를 전담하는 팀은 1개 팀 정도밖에 없습니다. 그렇죠? 그런데 교육감님께서는 교육복지사업을 확대하시고 또 주장하시고 복지에 대해서 상당히 깊은 철학을 가지고 계신데 그것에 비해서 조직적인 부분을 보면 교육복지를 전담할 수 있는 컨트롤 타워는 보이지 않습니다. 동의하시나요?,부정,긍정
"""에너지가 많이 소비될 수 있지만 적기라는 게 있기 때문에 저는 사실상 에너지가 비축되어 있을 때 하겠다고 하면 할 수 있는 날은 없을 거라고 생각을 합니다. 교육감님께서 조금 힘드시겠지만 하셔야 된다고 생각을 하고요. 그리고 얼마 전에 간담회를 제가 한 내용이 있는데 그 점에 대해서 교육감님께 여쭤보고 싶은 거예요. 교육감님, 독서를 중요하게 여기시나요, 독서에 대해서?""",부정,긍정
"""네, 당연하죠.""",긍정,중립
모든 학교가 다 닫지는 않겠지만 대다수의 학교가 닫고 있습니다. 특히 초등학교 같은 경우는 아예 닫고 있겠죠. 자원봉사라든지 학부모회가 돌아가면서 와서 일시적으로 여는 게 아니라 방 중 개방은 되고 있지 않습니다. 알고 계시나요?,부정,중립
"""지금은 1,300개 학교 중에서 1,000개 정도 못 미치는 학교가 개방하는 것으로 되어 있고요. 그리고 학교도서관 사서가 근무하지 않는 방 중 비근무 구간이 있어서 그게 또 공백이 발생하고 그런 게 있습니다. 어쨌든 이 부분은 사실 굉장히 중요한 문제로 보고 있습니다. 지금 조례안에 대해서 제출하신 것으로 제가 듣고 있습니다.""",부정,중립
"""최근에 국감 지적 보고 자료를 우선 초등학교만 보면 초등학교 등교일 수가 현격하게 차이가 나요. 서울의 경우는 평균 11일 정도, 전남은 59일, 충북은 54일 단순히 등교일 수를 비교하면 안 되겠지만 그래도 이렇게 차이나는 것은 교육 격차라고 할까, 등교일 수가 이렇게 차이가 나는 것은 심각한 문제 아닌가요? 여기에 대한 대책은 어떻게 가지고 계시죠?""",부정,중립
다른 지역과 비교하면…….,긍정,중립
중학교 문제고요 지금 초등학교 얘기를 말씀드리는 겁니다. 이것을 어떻게 해소할 수 있나요?,긍정,중립
"""저는 교육 격차 해소, 교육불평등 완화가 거의 최고의 가치인데요. 저희들의 나름 최선의 노력에도 불구하고 결과가 여전히 부족하다 이렇게 말씀드리고 싶습니다.""",부정,긍정
"""국공립학교를 다니는 아이들은 사실 상대적 손해를 보는 것 아닌가요, 이것을 해소해 줘야 되죠?""",부정,중립
그렇습니다. 지금 현재 사실 중입배정이나 고입배정에서도 사립학교에 대한 선호도가 늘어나는 것도 사실 그것하고 연관이 있습니다.,긍정,중립
"""그러니까 시설 환경에 문제가 있는 거고 또 하나는 자기주도학습이든 소득이 여유롭거나 사교육을 할 수 있는 부모의 경우에는 아이를 더 케어 해서 할 수 있는데 맞벌이부부든 한부모 가정이든 심지어 이렇게 관심을 둘 수 없는 환경에 있으신 부모들은 아이들이 계속 방치돼서 이것을 어떻게 해결해야 될지 더 걱정하고 염려하고 있는 게 사실입니다. 물론 교육청에서 돌봄교실이든 이런 것을 통해서 계속 진행하고 있는데 이게 현실이다, 최근 교육부하고 한국교육학술정보원의 조사결과에 따르면 교사의 80%가 지금의 상황이 학생 간 학습격차가 심화됐다, 증가됐다고 얘기를 하고 있고요. 이것의 원인으로 금방 얘기한 대로 학부모 학습 보조 여부, 또 자기주도학습의 차이 등등 여러 가지 원인을 얘기하고 있는데 이런 근본적인 문제를 해결해 줘야 되는 게 교육청이라고 생각합니다, 물론 노력하고 계시지만. 최근 갑작스러운 코로나라는 이유로 계속 한계를 얘기하고 있는 것에 대한 사설의 지적도 있었습니다. 언제까지 코로나 탓만 할 거냐. 그래서 구체적으로 공교육이 바로 아이들 환경의 문제, 아이들 본인의 문제가 아니라, 어른들이 책임져야 될 것이 바로 그런 부분이겠죠. 어디서 태어났냐가 중요한 것이 아니라 똑같은 환경에서 공부할 수 있게끔 밀어주는 것이 어른의 역할인데 그것을 열심히 해 주셔야겠죠?""",부정,중립
"""그리고 구체적으로는 우리 국장님, 기조실장님하고 얘기를 나누겠지만 제가 요구한 자료 중에 하나가 재미있는 것이 있습니다. 민주주의의 정착 또 학교, 학생, 학부모, 지역, 지방자치단체 그런 역할들이 혁신학교, 마을중심……. 최근에 학부모회 운영비 때문에 제가 자료를 요구해 봤습니다. 학부모회 운영비를 어떻게 썼는지 요구하니까…….""",중립,긍정
제기됐다기 보다 어떻게 했을까 궁금했습니다. 그랬더니 그래도 대부분 동의를 다 구해 주셨어요.,긍정,중립
지금 보니까 78.5%는 동의를 받았는데 안 받은 데도 있다는 얘기네요.,중립,부정
"""그렇다고 본다면 우리 의회와의 관계에 있어서 좀 더 소통을 긴밀히 했었으면 좋겠다는 아쉬움이 있어요. 물론 이것뿐만 아니고 앞으로 우리 교육청에서, 또 교육감께서 새로운 정책을 추진하고 입안하고자 할 때, 특히 이런 것들은 앞으로 재정지출을 고정적으로 해야 될 것 아닙니까?""",긍정,부정
"""더군다나 지금 2기 중반으로 접어들고 있습니다. 어떻게 보면 교육감님이 주체적으로 이 부분을 챙기지 않으면 말 그대로 빌 공자의 공약이 된다 이런 말씀을 드리고 싶어요. 지금 2018년도에, 이것도 우리 교육청에서 한 게 아니라 서울시가 한 거예요. 6개 자치구에 67개 교를 시범사업으로 했어요. 2019년도에는 80개 교, 2020년도에는 137개 교 확대시범 사업을 3년 동안 실시해 왔어요. 반응은 교육공동 주체인 학부모나 학생들 입장에서는 상당히 좋은 정책으로 받아들여요.""",부정,긍정
그런데 이것을 지금 서울시가 2021년도에는 예산을 미반영했어요. 쉽게 얘기하면 할 수 없는 상황이 온 거예요. 알고 계세요? 제가 왜 이 말씀을 드리냐면…….,부정,중립
한번 점검해 보겠습니다.,긍정,중립
"""존경하는 조희연 교육감님께서 고 박원순 시장님과 40년지기, 말 그대로 어떻게 보면 생사고락을 같이 해 오시면서 서울시정과 서울교육청의 행정을 쌍두마차로 이끌어 오셨단 말이에요, 서로 연대와 협력을 통해서.""",긍정,부정
저는 협력사업 예산 속에 들어있는 거라 판단했는데 지금이라도 다시 한번 점검하겠습니다.,긍정,중립
"""이미 지금 예산서는 의회에 제출이 됐고, 제가 알기로는 초등학교를 전면실시하려고 했어요. 왜냐하면 Non-GMO 사업에 대한 학부모들의 뜨거운 열기가 있었기 때문에. 그래서 50몇억을 초등학교만이라도 하려고 서울시 담당부서에서는 예산을 반영해서 신청을 했는데 예산부서에서 전액 삭감된 거예요. 그러면 이것을 우리 교육청에서는 어떻게 해서든지 챙기려고 노력을 했어야 된다는 거죠.""",부정,중립
"""그렇죠. 서울시가 후퇴를 하면 저희가 또 버팀목이 되어야 되는, 제가 그 상황까지는 인지를 못했는데 한번 심각하게 점검하겠습니다.""",부정,중립
그리고 재정에 대해서 간단하게 말씀드리겠습니다. 사실 코로나로 경제사정이 좋지 않게 되면서 교육청의 재정수입도 근본적으로 감소할 수밖에 없다 이런 말씀을 드리고. 당장 내년예산부터도 지금 감액된 상황으로 예산편성이 이루어졌잖아요?,부정,중립
"""지금 그게 조금 어려운 것으로 저는 알고 있었는데요. 지금 저희가 거의 1,000억이 원리금 상환으로 매년 부담을 해야 되는 상황까지 가고 있는데요.""",부정,중립
근본적으로 원금을 일시적으로 예산 여유가 있어서 갚아갈 때는 그런 부분에 당연히 이자가 나가지 않기 때문에 도움이 되겠지만 앞으로 재정이 어려워지면서 원금상환이 여의치 않을 때 결과적으로 이자율 조정을 통해서 이 예산부분을 절감할 수 있는 여지를 만들어가야 된다 그런 측면이에요.,긍정,중립
"""그래서 정말로 앞으로 우리 지금 교육행정 재산들이 나름대로는 적정하게 공유재산 대부를 통해서 자체재원의 재정수입을 올릴 수 있는 일들이 많이 있어요. 특히 재건축단지, 재개발단지 내에 있는 휴교된 상태의 학교 활용, 교육연구시설을 활용해서 재정수입을 늘려간다든지, 물론 그러한 과정에서 법적기준이라든지 행정적인 지침이라든지 예규라든지 이런 부분에 저촉되지 않는 범위 내에서 최대한 적극적으로 공유재산을 활용해서 자체재원을 확보하는, 자체재원의 재정을 증대시키는 이런 노력도 필요하다는 거예요.""",긍정,중립
이상입니다.,긍정,중립
"""2335페이지 보면 만족도가 47%, 45, 46% 좀 심각하잖아요? 어떠세요?""",부정,중립
"""평가점수는 그래도 80점대, 85점 괜찮아요. 그런데 3년간 괜찮았는데 올해는 폐지가 돼서 이 점수가 안 나타나는데 이것을 한번 더 생각해 보시고요. 두 번째 질문은 우리 김수규 위원님께서 자료요청하신 건데 지금 우리 지방계약법 시행령에 보면, 교육감님이 대답 안 하셔도 아무나 준비하셔도 될 것 같은데 내가 언뜻 이 자료를, 저는 깊게 보지를 못하고 그냥 이 자료만 보고 질문하는 건데요, 작년 올해 해서 2,000만 원 이상의 수의계약 현황인데 보통 우리가 물품이나 공사나 용역 등은 2,000만 원 이상이면 나라장터에서 공개경쟁을 하게 되고 그다음에 여성기업이라든지 아니면 장애인이라든지 특수한 경우는 액수가 올라갈 수도 있고 5,000인가, 8,000인가, 1억까지도 올라가는데 여기 자료를 보면 워낙 작게 써서 내가 눈이 안 좋아서 보지를 못하겠는데 7,000 몇 건이 돼요. 아니, 2,200건 이상이 되는데 특수한 경우가 이렇게 많은가? 한번 보세요. 교육감님, 몇 페이지냐면 두 번째 자료에 975페이지부터인데 한참이에요, 한참. 한참동안 조그마한 깨알 같은 글씨인데 이게 액수를 보니까 상당히 많은 액수도 있어. 그런데 특수한 경우가 이렇게 많을까요? 간단하게 한말씀 하세요, 간단하게. 너무 깊게는 나중에 보도록 하고, 아무나 대답하세요.""",부정,중립
그런 견지에서도 저희가 한번 점검을 해서 보고드리겠습니다.,긍정,중립
해보세요.,긍정,중립
이석주 위원님 수고하셨습니다. 아주 짧게 임팩트 있게 잘 시간도 맞춰주셨네요. 전병주 부위원장님 질의해 주세요.,긍정,중립
